# ----------------------------------------,,,,
# Alexa Internet,,,,
# Competitive Intelligence,,,,
# Historical Traffic Trends: Pageviews Percent,,,,
# 4/22/2018 (MM/DD/YYYY UTC),,,,
# ----------------------------------------,,,,
Date,Metric,bitfinex.com,binance.com,coinbase.com
8/15/2016,Pageviews %,0.0000031,,0.0000209
8/16/2016,Pageviews %,0.0000021,,0.000014
8/17/2016,Pageviews %,0.0000024,,0.000014
8/18/2016,Pageviews %,0.0000017,,0.000014
8/19/2016,Pageviews %,0.0000012,,0.000015
8/20/2016,Pageviews %,0.0000027,,0.000013
8/21/2016,Pageviews %,0.0000014,,0.000017
8/22/2016,Pageviews %,0.0000031,,0.000011
8/23/2016,Pageviews %,1.5E-06,,0.000009
8/24/2016,Pageviews %,0.0000018,,0.00001
8/25/2016,Pageviews %,1.5E-06,,0.0000094
8/26/2016,Pageviews %,8.80E-07,,0.000014
8/27/2016,Pageviews %,4.80E-07,,1.2E-05
8/28/2016,Pageviews %,8.70E-07,,0.0000098
8/29/2016,Pageviews %,7.60E-07,,0.0000095
8/30/2016,Pageviews %,1.3E-06,,0.000009
8/31/2016,Pageviews %,9.80E-07,,0.0000096
9/1/2016,Pageviews %,0.000001,,0.0000099
9/2/2016,Pageviews %,7.20E-07,,0.00001
9/3/2016,Pageviews %,0.0000027,,0.00001
9/4/2016,Pageviews %,0.0000022,,1.2E-05
9/5/2016,Pageviews %,9.90E-07,,0.000011
9/6/2016,Pageviews %,0.0000012,,0.00001
9/7/2016,Pageviews %,8.60E-07,,0.0000085
9/8/2016,Pageviews %,0.0000018,,0.000013
9/9/2016,Pageviews %,0.0000016,,0.000011
9/10/2016,Pageviews %,0.0000016,,0.00001
9/11/2016,Pageviews %,0.0000016,,0.00001
9/12/2016,Pageviews %,0.0000012,,7.7E-06
9/13/2016,Pageviews %,8.40E-07,,0.00001
9/14/2016,Pageviews %,0.0000011,,2.57E-05
9/15/2016,Pageviews %,0.0000014,,0.000011
9/16/2016,Pageviews %,0.000002,,1.2E-05
9/17/2016,Pageviews %,0.0000044,,0.000016
9/18/2016,Pageviews %,0.0000023,,0.000018
9/19/2016,Pageviews %,0.000002,,0.000013
9/20/2016,Pageviews %,0.0000014,,0.000031
9/21/2016,Pageviews %,0.0000022,,0.000013
9/22/2016,Pageviews %,0.0000023,,0.000015
9/23/2016,Pageviews %,7.40E-07,,0.000014
9/24/2016,Pageviews %,0.0000029,,0.00002
9/25/2016,Pageviews %,0.0000022,,0.000016
9/26/2016,Pageviews %,0.0000012,,0.000013
9/27/2016,Pageviews %,1.3E-06,,0.000015
9/28/2016,Pageviews %,0.0000017,,0.000015
9/29/2016,Pageviews %,0.0000023,,0.000014
9/30/2016,Pageviews %,9.20E-07,,0.000016
10/1/2016,Pageviews %,0.0000031,,0.00002
10/2/2016,Pageviews %,0.0000041,,0.000018
10/3/2016,Pageviews %,0.0000016,,0.000018
10/4/2016,Pageviews %,0.0000029,,0.000016
10/5/2016,Pageviews %,0.0000022,,0.000013
